Distance_(inches),Gray_Value
5.23958,10.667
5.25000,10.000
5.26042,10.000
5.27083,10.000
5.28125,10.000
5.29167,10.000
5.30208,10.000
5.31250,10.000
5.32292,10.000
5.33333,10.000
5.34375,10.000
5.35417,10.000
5.36458,10.000
5.37500,10.000
5.38542,9.000
5.39583,9.000
5.40625,9.000
5.41667,9.000
5.42708,9.000
5.43750,9.000
5.44792,9.000
5.45833,9.000
5.46875,9.000
5.47917,9.000
5.48958,9.000
5.50000,9.000
5.51042,9.000
5.52083,9.000
5.53125,9.000
5.54167,9.000
5.55208,9.000
5.56250,9.000
5.57292,9.000
5.58333,9.000
5.59375,9.000
5.60417,9.000
5.61458,10.667
5.62500,10.667
5.63542,10.667
5.64583,10.667
5.65625,10.667
5.66667,10.667
5.67708,10.667
5.68750,10.667
5.69792,10.000
5.70833,10.000
5.71875,10.000
5.72917,10.000
5.73958,10.000
5.75000,10.000
5.76042,10.000
5.77083,10.000
5.78125,10.000
5.79167,11.667
5.80208,11.667
5.81250,11.667
5.82292,11.667
5.83333,11.667
5.84375,11.667
5.85417,11.667
5.86458,11.667
5.87500,11.667
5.88542,11.000
5.89583,11.000
5.90625,11.000
5.91667,11.000
5.92708,11.000
5.93750,11.000
5.94792,11.000
5.95833,11.000
5.96875,13.333
5.97917,13.333
5.98958,14.333
6.00000,14.333
6.01042,14.333
6.02083,17.667
6.03125,17.667
6.04167,19.333
6.05208,19.333
6.06250,17.333
6.07292,17.333
6.08333,17.333
6.09375,17.333
6.10417,17.333
6.11458,17.333
6.12500,17.333
6.13542,17.333
6.14583,17.333
6.15625,12.333
6.16667,12.333
6.17708,12.333
6.18750,12.333
6.19792,11.333
6.20833,11.333
6.21875,11.333
6.22917,11.333
6.23958,9.667
6.25000,9.667
6.26042,9.667
6.27083,9.667
6.28125,9.667
6.29167,9.667
6.30208,9.667
6.31250,9.667
6.32292,9.667
6.33333,9.000
6.34375,9.000
6.35417,9.000
6.36458,9.000
6.37500,9.000
6.38542,9.000
6.39583,9.000
6.40625,9.000
6.41667,9.000
6.42708,9.000
6.43750,9.000
6.44792,9.000
6.45833,9.000
6.46875,9.000
6.47917,9.000
6.48958,9.000
6.50000,9.000
6.51042,9.000
6.52083,9.000
6.53125,9.000
6.54167,9.000
6.55208,9.000
6.56250,9.000
6.57292,9.000
6.58333,9.000
6.59375,9.000
6.60417,9.000
6.61458,9.000
6.62500,9.000
6.63542,9.000
6.64583,9.000
6.65625,9.000
6.66667,9.000
6.67708,9.000
6.68750,9.000
6.69792,9.000
6.70833,9.000
6.71875,9.000
6.72917,9.000
6.73958,9.000
6.75000,9.000
6.76042,9.000
6.77083,9.000
6.78125,9.000
6.79167,9.000
6.80208,9.000
6.81250,9.000
6.82292,9.000
6.83333,9.000
6.84375,9.000
6.85417,9.000
6.86458,9.000
6.87500,9.000
6.88542,9.000
6.89583,9.000
6.90625,9.000
6.91667,9.000
6.92708,9.000
6.93750,9.000
6.94792,9.000
6.95833,9.000
6.96875,9.000
6.97917,9.000
6.98958,9.000
7.00000,9.000
7.01042,9.000
7.02083,9.000
7.03125,9.000
7.04167,9.000
7.05208,9.000
7.06250,9.000
7.07292,9.000
7.08333,9.000
7.09375,9.000
7.10417,9.000
7.11458,9.000
7.12500,9.000
7.13542,9.000
7.14583,9.000
7.15625,9.000
7.16667,9.000
7.17708,9.000
7.18750,9.000
7.19792,9.000
