Distance_(inches),Gray_Value
3.95833,10.000
3.96875,10.667
3.97917,10.667
3.98958,10.667
4.00000,10.667
4.01042,10.667
4.02083,10.667
4.03125,10.667
4.04167,10.667
4.05208,12.000
4.06250,19.000
4.07292,19.000
4.08333,28.333
4.09375,35.333
4.10417,25.667
4.11458,34.667
4.12500,30.000
4.13542,17.000
4.14583,8.667
4.15625,8.667
4.16667,9.333
4.17708,9.333
4.18750,11.000
4.19792,11.000
4.20833,11.000
4.21875,11.667
4.22917,11.667
4.23958,10.333
4.25000,10.333
4.26042,10.333
4.27083,10.333
4.28125,10.333
4.29167,10.333
4.30208,10.333
4.31250,10.333
4.32292,10.333
4.33333,10.333
4.34375,10.333
4.35417,10.333
4.36458,10.333
4.37500,10.333
4.38542,10.333
4.39583,10.333
4.40625,10.333
4.41667,11.000
4.42708,11.000
4.43750,11.000
4.44792,11.000
4.45833,11.000
4.46875,11.000
4.47917,11.000
4.48958,11.000
4.50000,11.000
4.51042,11.000
4.52083,11.000
4.53125,11.000
4.54167,11.000
4.55208,11.000
4.56250,11.000
4.57292,11.000
4.58333,11.000
4.59375,11.000
4.60417,11.000
4.61458,11.000
4.62500,11.000
4.63542,11.000
4.64583,8.000
4.65625,8.000
4.66667,8.000
4.67708,8.000
4.68750,10.000
4.69792,10.000
4.70833,10.000
4.71875,10.000
4.72917,10.000
4.73958,10.000
4.75000,10.000
4.76042,10.000
4.77083,9.000
4.78125,9.000
4.79167,9.000
4.80208,9.000
4.81250,9.000
4.82292,9.000
4.83333,9.000
4.84375,9.000
4.85417,8.000
4.86458,9.000
4.87500,9.000
4.88542,9.000
4.89583,9.000
4.90625,9.000
4.91667,9.000
4.92708,9.000
4.93750,9.000
4.94792,9.000
4.95833,9.000
4.96875,9.000
4.97917,9.000
4.98958,9.000
5.00000,9.000
5.01042,9.000
5.02083,9.000
5.03125,9.000
5.04167,9.000
5.05208,9.000
5.06250,9.000
5.07292,9.000
5.08333,9.000
5.09375,9.000
5.10417,9.000
5.11458,9.000
5.12500,9.000
5.13542,9.000
5.14583,9.000
5.15625,9.000
5.16667,9.000
5.17708,9.000
5.18750,9.000
5.19792,9.000
5.20833,9.000
5.21875,9.000
5.22917,9.000
5.23958,9.000
5.25000,9.000
5.26042,9.000
5.27083,9.000
5.28125,9.000
5.29167,9.000
5.30208,9.000
5.31250,9.000
5.32292,9.000
5.33333,9.000
5.34375,9.000
5.35417,9.000
5.36458,9.000
5.37500,9.000
5.38542,9.000
5.39583,9.000
5.40625,9.000
5.41667,9.000
5.42708,9.000
5.43750,9.000
5.44792,9.000
5.45833,9.000
5.46875,9.000
5.47917,9.000
5.48958,9.000
5.50000,9.000
5.51042,9.000
5.52083,9.000
5.53125,9.000
5.54167,9.000
5.55208,9.000
5.56250,9.000
5.57292,9.000
5.58333,9.000
5.59375,9.000
5.60417,9.000
5.61458,9.000
5.62500,9.000
5.63542,9.000
5.64583,9.000
5.65625,9.000
5.66667,9.000
5.67708,9.000
5.68750,9.000
5.69792,9.000
5.70833,9.000
5.71875,9.000
5.72917,9.000
5.73958,9.000
5.75000,9.000
5.76042,9.000
5.77083,9.000
5.78125,9.000
5.79167,9.000
5.80208,9.000
5.81250,9.000
5.82292,9.000
5.83333,9.000
5.84375,9.000
5.85417,9.000
5.86458,9.000
5.87500,9.000
5.88542,9.000
5.89583,9.000
5.90625,9.000
5.91667,9.000
5.92708,9.000
5.93750,9.000
5.94792,7.000
5.95833,9.000
5.96875,9.000
5.97917,12.000
5.98958,14.000
6.00000,11.000
6.01042,11.000
6.02083,11.000
6.03125,11.000
6.04167,10.000
6.05208,10.000
6.06250,10.000
6.07292,10.000
6.08333,10.000
6.09375,10.000
6.10417,10.000
6.11458,10.000
6.12500,10.000
6.13542,10.000
6.14583,10.000
6.15625,10.000
6.16667,10.000
6.17708,10.000
6.18750,10.000
6.19792,10.000
6.20833,10.000
6.21875,10.000
6.22917,10.000
6.23958,10.000
6.25000,10.000
6.26042,10.000
6.27083,10.000
6.28125,10.000
6.29167,10.000
6.30208,10.000
6.31250,9.000
6.32292,9.000
6.33333,9.000
6.34375,9.000
6.35417,9.000
6.36458,9.000
6.37500,9.000
6.38542,9.000
6.39583,9.000
